메뉴,코드,
동태탕,yyyyy,1
매운탕,yyyyy,2
송어매운탕,yyyyy,3
통오징어찌개,yyyyy,4
해물탕,yyyyy,5
갈비해물찜,yyyyny,1
대구해물뽈찜,yyyyny,2
아구해물찜,yyyyny,3
아귀찜,yyyyny,4
해물찜,yyyyny,5
낙곱새,yyyynny,1
낙삼새,yyyynny,2
오징어볶음,yyyynny,1
쭈꾸미닭갈비,yyyynny,2
쭈꾸미볶음,yyyynny,3
깐쇼새우,yyyynny,4
오징어덮밥,yyyynnn,1
갈치조림,yyyynnn,2
명태조림,yyyynnn,3
황태조림,yyyynnn,4
닭볶음탕,yyyny,1
닭발,yyyny,2
닭강정,yyyny,3
닭갈비,yyyny,4
삼겹살닭갈비,yyyny,5
고추잡채,yyynnyy,1
고추장삼겹살,yyynnyy,2
곱창볶음,yyynnyy,3
김치삼겹살두루치기,yyynnyy,4
두루치기,yyynnyy,5
마파두부,yyynnyy,6
막창볶음,yyynnyy,7
제육볶음,yyynnyy,8
곱창전골,yyynnyny,1
돼지김치전골,yyynnyny,2
얼큰만두전골,yyynnyny,3
울대찌개,yyynnyny,4
짜글이찌개,yyynnyny,5
매운등갈비찜,yyynnynn,1
묵은지갈비찌개,yyynnynn,2
뼈해장국,yyynnynn,3
제육덮밥,yyynnynn,4
제육볶음쌈밥,yyynnynn,5
부대찌개,yyynnn,1
오리주물럭,yyynnn,2
육개장,yyynnn,3
동태지리탕,yynyy,1
동태찌개,yynyy,2
해물누룽지탕,yynyy,3
어묵전골,yynyy,4
추어탕,yynyy,5
대게,yynyny,1
킹크랩,yynyny,2
랍스타,yynyny,3
조개구이,yynynny,1
장어구이,yynynny,2
생선구이,yynynny,3
석화,yynynny,4
삼치구이,yynynny,5
고갈비,yynynny,6
팔보채,yynynnn,1
유산슬,yynynnn,2
새우볶음밥,yynynnn,3
해물볶음밥,yynynnn,4
감바스,yynynnn,5
해물오꼬노미야끼,yyny,1
올갱이국,yyny,2
새우튀김,yyny,3
올갱이해장국,yyny,4
황태해장국,yyny,5
바지락칼국수,yyny,6
생선까스,yyny,7
해물파전,yyny,8
크림새우,yyny,9
바지락칼국수,yyny,10
파닭,yynnyy,1
통닭,yynnyy,2
치킨,yynnyy,3
치킨샐러드,yynnyy,4
닭똥집,yynnyy,5
